24,43,58,860,9753,5167,3,1
30,90,66,890,8436,2938,3,1
28,80,86,825,8761,2927,3,0
38,83,75,972,8501,4270,2,0
24,77,53,876,8814,4742,2,1
37,74,87,979,9455,4351,1,0
21,43,77,976,9231,2530,4,0
26,50,91,840,8590,3353,3,0
28,91,76,911,8851,2805,1,0
22,59,93,883,8983,2070,1,1
29,93,80,768,8523,3439,1,0
27,99,87,728,10201,3053,2,0
38,89,45,843,8086,3003,1,1
38,40,76,858,8608,3688,3,0
30,84,60,870,10112,2499,3,1
33,84,66,983,8378,5395,2,1
37,76,95,975,10257,2518,1,0
36,42,83,931,7203,4366,3,1
28,40,67,978,9988,3031,4,0
27,70,99,780,9132,4585,1,1
30,68,71,765,9944,4600,2,1
38,70,96,847,9967,2233,1,1
27,95,95,921,7361,5169,1,0
34,97,92,1003,9859,4976,2,1
23,61,86,724,8427,4034,4,0
24,79,65,1006,7991,3986,2,0
38,52,78,855,9916,3231,2,1
23,75,57,757,9281,4050,3,0
29,85,81,859,10639,5314,1,1
23,81,56,756,10074,4626,3,1
31,88,84,799,7933,3861,3,1
29,66,65,995,9580,3707,2,0
26,65,92,787,10692,4734,3,0
37,53,54,902,9491,1908,3,1
38,73,68,952,9475,2136,1,1
35,49,57,925,9566,2876,4,1
28,68,86,744,8809,2175,4,1
24,43,58,854,7417,2236,1,0
24,96,77,927,9614,4362,3,0
29,70,49,862,9061,3125,4,1
27,84,49,1020,8813,4903,2,1
30,64,92,790,8906,4249,3,1
32,55,98,865,8523,4770,3,1
31,52,62,1002,10161,4612,3,1
23,46,100,787,7984,5309,3,1
22,88,77,854,10114,3424,3,0
22,45,84,755,8262,4493,3,1
34,43,66,730,7605,4247,4,0
29,68,93,997,7401,2460,2,1
32,59,99,947,10411,4122,1,0
23,91,86,838,8899,3644,3,0
25,67,64,952,10182,3103,4,1
35,97,84,858,8735,2944,3,0
23,95,86,777,7882,3107,3,0
32,81,62,847,9720,3388,4,1
23,69,84,987,8354,5076,3,0
34,92,81,936,7445,2794,4,1
25,77,54,1001,10055,3690,3,1
22,69,88,878,8005,5400,1,1
21,70,63,808,8323,4900,2,0
38,79,81,991,8582,3352,3,1
25,44,100,770,9872,2039,2,1
26,61,67,868,10744,3372,4,0
34,66,73,997,7856,2025,3,0
33,94,98,836,7586,5050,1,1
25,55,96,1007,8126,4704,3,1
30,83,99,936,8205,3811,3,1
33,63,47,935,8702,4722,2,0
35,63,49,916,7518,3476,4,0
29,76,48,817,10771,2424,3,1
38,93,78,918,7912,4972,1,0
33,73,94,862,8651,2458,2,0
35,94,55,906,7390,2242,4,1
31,53,88,990,10160,3746,2,0
31,85,52,746,10743,1911,3,0
29,100,47,910,10362,5282,4,1
31,60,62,979,9588,2826,4,0
28,60,45,844,8709,2673,1,0
24,64,100,995,9593,4005,2,0
25,63,93,916,9693,2863,4,0
27,88,89,721,9480,2723,3,0
30,98,76,950,8586,4403,3,0
32,99,85,738,8797,4913,2,1
35,42,76,972,7563,1990,3,1
22,81,45,978,9324,3158,3,1
38,71,74,951,9122,5110,2,0
35,44,79,766,7315,3424,1,1
35,71,55,837,8314,4491,1,1
27,47,48,989,8959,2585,1,0
37,44,76,890,7699,2355,1,0
23,47,47,745,9492,2094,1,1
22,44,91,973,9395,4513,2,1
34,41,78,756,10147,1807,4,0
37,86,77,728,10749,2577,1,1
30,84,73,744,8440,3841,4,1
36,81,88,995,9519,2685,3,1
30,79,94,940,10165,4045,1,1
28,91,45,906,8556,5011,3,0
25,77,77,1015,8854,4094,1,1
22,80,48,748,10238,4819,1,1
36,84,50,949,7817,2508,2,0
21,57,59,792,9325,2531,3,0
26,65,75,1006,9515,2041,2,0
21,91,94,902,7690,4891,2,1
38,43,94,986,10103,5025,1,1
21,61,67,968,9706,4856,1,1
27,54,65,962,9778,3009,4,1
23,78,86,954,7444,4824,2,0
38,46,69,838,10766,2971,3,1
31,88,79,918,8982,3660,3,0
24,73,72,961,10272,3257,4,0
27,87,61,896,8679,4146,3,1
38,69,61,877,10564,1889,1,0
23,46,55,826,10568,1975,4,0
32,100,94,783,7730,2662,4,0
25,89,48,766,8378,3317,1,1
30,72,60,972,9353,3403,4,1
31,44,73,747,10480,2377,1,0
24,44,57,922,7985,3247,3,1
26,85,47,959,7903,3940,4,1
25,84,86,832,9857,3784,3,1
36,77,78,809,8261,2184,4,1
22,80,50,818,9188,4791,1,0
32,80,81,871,7382,1859,2,0
